"match_id","radiant_team_id","dire_team_id","duration","radiant_score","dire_score","radiant_win"
3261161172,4469196,4425718,2279,41,27,true
3261269778,4469196,4425718,2992,37,44,true
3227496202,4469196,2967569,838,13,1,true
3259050996,4469196,3922738,2196,29,20,false
3231341605,4469196,4151852,1134,5,17,true
3244942284,4469196,4425718,2350,42,23,false
3231386321,4469196,4151852,2297,27,56,true
3259050996,4469196,3922738,2196,29,20,true
3227496202,4469196,2967569,838,13,1,false
3236610190,4469196,1905619,3197,28,38,true
3225245583,4469031,2741032,1350,27,6,false
3274795436,4429098,4592777,2382,34,18,true
3279027482,4429098,2006913,3226,34,31,true
3274935013,4429098,36,2378,30,12,true
3276818595,4429098,4100699,2325,30,22,true
3277360472,4429098,46,2478,33,30,false
3277071048,4429098,4425117,2786,29,17,true
3275790914,4429098,2621843,3737,35,34,true
3274795436,4429098,4592777,2382,34,18,false
3279027482,4429098,2006913,3226,34,31,false
3274935013,4429098,36,2378,30,12,false
3276818595,4429098,4100699,2325,30,22,false
3220123407,4429098,4484020,1911,12,32,true
3277071048,4429098,4425117,2786,29,17,false
3275790914,4429098,2621843,3737,35,34,false
3233804506,4425718,3714164,2526,22,29,false
3233804506,4425718,3714164,2526,22,29,true
3247428447,4425718,3714164,1719,52,28,false
3276727833,4425527,3659536,2526,21,27,false
3276727833,4425527,3659536,2526,21,27,true
3260732358,4425117,4593831,1689,4,31,false
3218265815,4425117,2537636,2645,41,33,true
3218663784,4425117,2006913,1757,15,32,false
3250846636,4425117,2533075,2608,22,44,false
3251135478,4425117,464103,2933,27,26,true
3244178141,4425117,4541043,3426,27,35,false
3208127648,4425117,111474,3107,12,33,false
3260732358,4425117,4593831,1689,4,31,true
3218265815,4425117,2537636,2645,41,33,false
3218663784,4425117,2006913,1757,15,32,true
3232815711,4425117,464103,1923,34,21,false
3208127648,4425117,111474,3107,12,33,true
3216267229,4425117,46,1732,14,17,true
3251135478,4425117,464103,2933,27,26,false
3216127084,4425117,26,1788,11,36,true
3283572195,4424013,3262512,4077,42,44,true
3191715916,4374164,3724222,2138,34,7,false
3189764846,4372838,3,2369,23,22,false
3189682876,4372838,3,989,4,16,false
3189764846,4372838,3,2369,23,22,true
3189682876,4372838,3,989,4,16,true
3275340129,4372767,4593848,3077,51,39,true
3274481930,4372767,3326875,2226,7,31,false
3274816116,4372767,2108395,2226,20,30,true
3275340129,4372767,4593848,3077,51,39,false
3274481930,4372767,3326875,2226,7,31,true
3275929302,4372042,3724222,2686,27,35,false
3278498607,4372042,4251435,3832,56,36,true
3204199168,4372042,3,2626,34,28,true
3218861261,4372042,4151852,2140,26,18,true
3280092629,4372042,3,2556,37,19,true
3280169747,4372042,3,1821,29,12,true
3282412777,4372042,2512249,2061,23,18,false
3282475291,4372042,2512249,2581,15,32,false
3277831396,4372042,3,1506,22,9,true
3278080836,4372042,1905619,3475,33,21,true
3276025580,4372042,3714164,1988,37,9,true
3275929302,4372042,3724222,2686,27,35,true
3278498607,4372042,4251435,3832,56,36,false
3204199168,4372042,3,2626,34,28,false
3218861261,4372042,4151852,2140,26,18,false
3280569987,4372042,2512249,2279,32,14,false
3280169747,4372042,3,1821,29,12,false
3282412777,4372042,2512249,2061,23,18,true
3282475291,4372042,2512249,2581,15,32,true
3277831396,4372042,3,1506,22,9,false
3278080836,4372042,1905619,3475,33,21,false
3276025580,4372042,3714164,1988,37,9,false
3218482941,4370100,1964407,1870,14,28,false
3260568429,4370100,4592777,2243,43,18,true
3290843079,4370100,3704482,1603,12,39,false
3246422634,4370100,4291528,2507,25,20,false
3218108679,4370100,1964407,5320,51,55,false
3262731650,4370100,464103,2280,16,32,true
3291022949,4370100,3704482,2161,28,37,true
3287317277,4369633,2679744,2323,18,31,true
3194235887,4368139,4251936,2389,38,19,true
3189850821,4368139,2672298,1569,10,30,false
3198504558,4368139,4151852,2068,11,33,true
3198553506,4368139,4151852,2873,21,38,true
3187840911,4368139,3477208,2892,27,21,false
3191865660,4367924,4324449,1690,9,20,false
3191904452,4367924,4324449,1490,6,21,false
3191865660,4367924,4324449,1690,9,20,true
3191904452,4367924,4324449,1490,6,21,true
3209666107,4366984,4001579,2972,34,40,false
3176430560,4360997,3090581,1525,5,34,true
3176450326,4346101,2739253,3561,62,55,true
3286918764,4329854,2341746,1612,63,16,false
3275918851,4328182,4703773,3086,41,15,true
3276104603,4328182,4593831,1606,9,33,false
3275108399,4328182,4186376,2068,20,21,false
3276908672,4328182,111474,2153,6,21,false
3277445396,4328182,26,2212,25,36,false
3275918851,4328182,4703773,3086,41,15,false
3276104603,4328182,4593831,1606,9,33,true
3275108399,4328182,4186376,2068,20,21,true
3276908672,4328182,111474,2153,6,21,true
3277445396,4328182,26,2212,25,36,true
3176817288,4327144,4361011,1747,39,21,false
3185840765,4325488,4010559,1144,2,19,true
3276529430,4324365,2672298,919,5,10,false
3276278414,4324365,4652711,1972,25,13,false
3277730855,4324365,3715574,1472,10,27,true
3161599428,4309242,2674713,2629,33,18,false
3161044774,4300086,3763625,2528,15,28,false
3168081693,4300086,3331735,4233,55,58,true
3163667104,4300086,3962017,1961,7,33,true
3176642608,4299978,3747060,1685,17,37,true
3176445764,4289657,4282183,2010,17,46,true
3160510515,4289066,1276785,2510,14,44,false
3158257881,4289066,3585141,2599,21,43,false
3167580869,4289066,3718685,1328,5,35,false
3173566564,4289066,3725701,1492,13,30,true
3167580869,4289066,3718685,1328,5,35,true
3173448915,4289066,3725701,1670,13,29,true
3164900895,4288603,3336725,1325,28,7,true
3167010539,4288603,2643401,2388,18,13,true
3169266134,4288603,3325252,3251,21,26,false
3170950855,4288603,2643401,2028,23,8,true
3158223122,4288603,3325252,1361,21,5,true
3158223122,4288603,3325252,1361,21,5,false
3170950855,4288603,2643401,2028,23,8,false
3167010539,4288603,2643401,2388,18,13,false
3169198379,4288603,3325252,1564,30,9,false
3169392048,4288603,3325252,4004,31,36,false
3158280816,4288603,3325252,2307,21,32,true
3225312139,4288098,4536774,1282,19,3,true
3225312139,4288098,4536774,1282,19,3,false
3188964041,4287944,4369633,1149,4,19,false
3205235955,4287944,2663631,1482,28,9,true
3201353795,4287944,2099268,2357,23,11,true
3188964041,4287944,4369633,1149,4,19,true
3205235955,4287944,2663631,1482,28,9,false
3199581890,4287944,3927252,2572,31,12,false
3244219627,4287944,992217,1353,6,23,true
3155187212,4287485,4287380,4564,50,47,true
3157038446,4287356,1314487,2440,38,21,true
3158345091,4287356,2108395,1325,5,23,true
3158415334,4287356,2108395,2123,26,22,true
3176436291,4286639,2542842,2431,36,39,false
3154997513,4286002,1314487,2296,35,15,false
3157132745,4284596,2391283,2721,18,20,true
