"Match ID","Series","League","Start Date/Time","Match Length","Duration secs","Kills Score","Dummy","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3121723977","132483","4442","16 abr 2017 12:01","40:21","2421","23-27","23,27","Dire","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO"
"3121532462","132451","4442","16 abr 2017 10:22","27:21","1641","26-10","26,10","Radiant","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?"
"3121387871","132451","4442","16 abr 2017 09:06","53:33","3213","39-52","39,52","Dire","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit"
"3119752275","132231","4442","15 abr 2017 02:35","33:13","1993","36-20","36,20","Radiant","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3119621304","132231","4442","15 abr 2017 01:31","44:46","2686","17-42","17,42","Dire","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit"
"3119483094","132205","4442","15 abr 2017 12:17","42:44","2564","21-33","21,33","Dire","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO"
"3119373647","132205","4442","15 abr 2017 11:16","30:48","1848","18-26","18,26","Dire","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?"
"3119243593","132205","4442","15 abr 2017 10:04","44:34","2674","26-36","26,36","Dire","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO"
"3117946839","132044","5313","14 abr 2017 05:16","25:13","1513","6-26","6,26","Dire","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3117804510","132044","5313","14 abr 2017 04:10","41:28","2488","21-10","21,10","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3117727808","132024","4442","14 abr 2017 03:35","34:01","2041","23-30","23,30","Dire","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?"
"3117652407","132044","5313","14 abr 2017 03:01","39:55","2395","28-26","28,26","Radiant","Faceless","Black^, iceiceice, xy, NutZ, Jabz","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato"
"3117580281","132024","4442","14 abr 2017 02:25","41:24","2484","27-24","27,24","Radiant","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3117431107","132024","4442","14 abr 2017 01:04","1:01:01","3661","26-32","26,32","Dire","Happy Feet","JessieVash*, Benhur, yAj, Julz*, Rr?","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3117419178","132018","5313","14 abr 2017 12:56","25:17","1517","28-11","28,11","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Team EVOS","ramz?, U e O, ilLogic, Vlaicuu, ÂVILLE"
"3117328958","132018","5313","14 abr 2017 11:59","36:22","2182","32-12","32,12","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Team EVOS","ramz?, U e O, ilLogic, Vlaicuu, ÂVILLE"
"3117288094","132005","4442","14 abr 2017 11:33","29:37","1777","9-20","9,20","Dire","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO"
"3117159487","132005","4442","14 abr 2017 10:08","1:03:19","3799","40-42","40,42","Radiant","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit"
"3116534951","131919","4289","14 abr 2017 12:07","28:01","1681","11-29","11,29","Dire","Ninjas in Pyjamas","Trixi, H4nn1, iNSaNiA, qojqva, Era","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!"
"3116481771","131919","4289","13 abr 2017 11:06","37:45","2265","20-27","20,27","Dire","Ninjas in Pyjamas","Trixi, H4nn1, iNSaNiA, qojqva, Era","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!"
"3116401911","131919","4289","13 abr 2017 09:50","46:15","2775","44-18","44,18","Radiant","Ninjas in Pyjamas","Trixi, H4nn1, iNSaNiA, qojqva, Era","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!"
"3116333596","131919","4289","13 abr 2017 08:52","35:55","2155","24-16","24,16","Radiant","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!","Ninjas in Pyjamas","Trixi, H4nn1, iNSaNiA, qojqva, Era"
"3116184404","131888","4289","13 abr 2017 07:06","1:17:09","4629","44-49","44,49","Dire","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!","Ninjas in Pyjamas","Trixi, H4nn1, iNSaNiA, qojqva, Era"
"3115805447","131833","5313","13 abr 2017 03:49","50:18","3018","40-19","40,19","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
